ID,Edad,Tipo_Trabajo,Estado_Civil,Educacion,mora,Vivienda,Vehiculo,Contacto,Mes,Dia,Campana,Dias_Ultima_Camp,No_Contactos,Resultado_Anterior,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,vlr_ingresos,segmento,perfil_riesgo,marg_cont,score_cliente,ah,cc,cdt,sum_saldo_prom_ah,sum_monto_trx_ah,sum_cant_trx_ah,sum_saldo_prom_cc,sum_monto_trx_cc,sum_cant_trx_cc,cdt_sum_valor_interes,cdt_sum_monto_apertura,cdt_prom_plazo_total_meses,buro_max_deuda,buro_num_creditos
5,41,empleado,casado,,,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1996714.1530112326,masivo,4,39934.283060224654,800,SI,SI,,240713.52806510116,22101.489667608104,15,111819.88841946726,7840.202250958471,15,0.0,0.0,0,5005275.260881115,3
6,24,tecnico,single,Estudiante Universitario,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1361735.6988288152,masivo,2,27234.713976576306,900,SI,,SI,329071.3688741482,30214.203237927955,10,0.0,0.0,0,9232.358809638183,902481.7969778018,53,1876340.4022423876,9
11,57,ama de casa,divorciado,preescolar,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,2147688.5381006924,masivo,2,42953.770762013846,900,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5852246.989679594,3
13,54,pensionado,casado,bachillerato incompleto,,si,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,3023029.856408025,preferente,2,151151.49282040127,900,,SI,,0.0,0.0,0,46045.997373113874,3228.49483535583,8,0.0,0.0,0,12106411.281360304,5
16,39,Vive de los arriendos,single,bachillerato incompleto,,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1265846.625276664,masivo,4,25316.93250553328,800,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,16485585.20811088,1
18,41,tecnico,single,bachillerato,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1265863.0430508195,masivo,1,25317.26086101639,950,,,SI,0.0,0.0,0,0.0,0.0,0,27017.93875525341,260450.51282556035,50,9785583.580848595,5
22,54,tecnico,single,pregrado,,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,3079212.8155073915,preferente,2,153960.64077536957,900,SI,,SI,434216.4378642353,39868.262461620034,8,0.0,0.0,0,41635.43566534829,1078831.3642823373,43,12589084.218341252,6
23,55,,casado,pregrado,,,,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,,masivo,4,45348.694583058175,800,,SI,SI,0.0,0.0,0,102724.10411439303,7202.455338572352,7,8102.371661224974,173305.5312135617,6,17795536.80040687,1
26,54,Vive de los arriendos,casado,preescolar,,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1030525.6140650478,masivo,2,20610.51228130096,900,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,12539390.077180808,8
36,40,empleado,casado,bachillerato incompleto,no,no,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,,masivo,4,40851.200871719295,800,SI,,,148880.6325878054,13669.708509097276,14,0.0,0.0,0,0.0,0.0,0,10666755.669974538,5
41,55,empleado,casado,preescolar,,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1036582.3071875377,masivo,2,20731.646143750753,900,,SI,SI,0.0,0.0,0,391800.35331010603,27470.909293211516,8,46108.511274281576,1324365.2396337155,6,1259267.558690265,6
42,55,tecnico,casado,Estudiante Universitario,,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1034270.2464297431,masivo,4,20685.404928594864,800,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,13382169.395485174,2
52,44,Vive de los arriendos,divorced,pregrado,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1741962.271566034,masivo,4,34839.24543132068,800,SI,,,328490.44575725944,30160.864871909245,12,0.0,0.0,0,0.0,0.0,0,10971928.50596214,9
53,57,,casado,,,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,500000.0,masivo,1,10000.0,950,,SI,SI,0.0,0.0,0,225678.30863595806,15823.33526145875,13,45284.01368082806,1115985.8634771006,36,16624168.37634555,8
55,41,empleado,divorciado,preescolar,,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,500000.0,masivo,4,10000.0,800,,SI,,0.0,0.0,0,348717.0379817722,24450.141605187688,21,0.0,0.0,0,10556667.752100477,8
62,31,administrador negocio,divorced,bachillerato,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,937712.4707590273,masivo,2,18754.249415180548,900,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5720931.5714039,6
63,39,administrador negocio,casado,pregrado,no,si,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,500000.0,masivo,2,10000.0,900,,SI,,0.0,0.0,0,421672.5452821809,29565.384882938102,9,0.0,0.0,0,3638069.3608215814,4
75,54,servicios,casado,,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1814247.3325952739,masivo,4,36284.94665190548,800,SI,SI,,483660.95744928316,44408.08848433212,5,21380.991750232406,1499.1188241850623,16,0.0,0.0,0,13769400.081872605,2
76,43,servicios,single,bachillerato,,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,591975.9244787891,masivo,4,11839.518489575783,800,,SI,,0.0,0.0,0,129875.68787261816,9106.176681056395,10,0.0,0.0,0,9097298.597241959,9
